,eta,epsilon,mu,K,TMSE,CB
0,0.3,0.35,0.05,1,0.034428492064375725,7
1,0.3,0.35,0.05,2,0.03514095900450342,7
2,0.3,0.35,0.05,4,0.033912473207770945,7
3,0.3,0.35,0.05,6,0.050544479974911016,7
4,0.3,0.35,0.05,8,0.045565331478779836,7
5,0.3,0.35,0.1,1,0.04766664210153586,7
6,0.3,0.35,0.1,2,0.03345805206124315,7
7,0.3,0.35,0.1,4,0.03348389863205266,8
8,0.3,0.35,0.1,6,0.055391664218039836,7
9,0.3,0.35,0.1,8,0.04573436677022486,7
10,0.3,0.35,0.2,1,0.19576502042572652,6
11,0.3,0.35,0.2,2,0.03588943898932115,7
12,0.3,0.35,0.2,4,0.036909882684869215,7
13,0.3,0.35,0.2,6,0.05597363939229459,7
14,0.3,0.35,0.2,8,0.04390777252170195,7
15,0.3,0.35,0.3,1,0.2792401816899895,7
16,0.3,0.35,0.3,2,0.09880858409617384,7
17,0.3,0.35,0.3,4,0.047043594727040706,7
18,0.3,0.35,0.3,6,0.054376699496954305,15
19,0.3,0.35,0.3,8,0.04366131639420609,9
20,0.3,0.35,0.4,1,0.31739034308653963,29
21,0.3,0.35,0.4,2,0.11665435142772809,12
22,0.3,0.35,0.4,4,0.07167100778813182,78
23,0.3,0.35,0.4,6,0.08475208182256849,69
24,0.3,0.35,0.4,8,0.057852776363632924,7
25,0.3,0.5,0.05,1,0.09466534865988424,7
26,0.3,0.5,0.05,2,0.09846250986120571,6
27,0.3,0.5,0.05,4,0.1320846472368153,6
28,0.3,0.5,0.05,6,0.20082430249300096,6
29,0.3,0.5,0.05,8,0.18856141903807852,6
30,0.3,0.5,0.1,1,0.05410456885166201,7
31,0.3,0.5,0.1,2,0.07423587325827433,7
32,0.3,0.5,0.1,4,0.0961176792495883,7
33,0.3,0.5,0.1,6,0.19580322968108793,6
34,0.3,0.5,0.1,8,0.19643093259337552,6
35,0.3,0.5,0.2,1,0.060827502559129776,7
36,0.3,0.5,0.2,2,0.04557474788825082,7
37,0.3,0.5,0.2,4,0.06345719202432751,7
38,0.3,0.5,0.2,6,0.1921519164309026,7
39,0.3,0.5,0.2,8,0.18513167939555766,6
40,0.3,0.5,0.3,1,0.089717455524288,7
41,0.3,0.5,0.3,2,0.041659494877825456,7
42,0.3,0.5,0.3,4,0.060953245163896976,7
43,0.3,0.5,0.3,6,0.24707279994912937,6
44,0.3,0.5,0.3,8,0.18911605779573087,6
45,0.3,0.5,0.4,1,0.06499624958546407,7
46,0.3,0.5,0.4,2,0.11781678824762967,7
47,0.3,0.5,0.4,4,0.11882816099536435,7
48,0.3,0.5,0.4,6,0.22579998485294414,6
49,0.3,0.5,0.4,8,0.18552198305581197,11
50,0.3,1.0,0.05,1,0.43602488730162653,5
51,0.3,1.0,0.05,2,0.45724512167456177,5
52,0.3,1.0,0.05,4,0.45856790709177647,5
53,0.3,1.0,0.05,6,0.5067375108271093,5
54,0.3,1.0,0.05,8,0.5065738949732799,5
55,0.3,1.0,0.1,1,0.4194602591993914,5
56,0.3,1.0,0.1,2,0.43331553592329525,5
57,0.3,1.0,0.1,4,0.4309258337493283,5
58,0.3,1.0,0.1,6,0.507311552210881,5
59,0.3,1.0,0.1,8,0.5065738949732799,5
60,0.3,1.0,0.2,1,0.40325410267931516,5
61,0.3,1.0,0.2,2,0.3994297662717862,5
62,0.3,1.0,0.2,4,0.4382200274165764,5
63,0.3,1.0,0.2,6,0.5081318777986215,5
64,0.3,1.0,0.2,8,0.5065738949732799,5
65,0.3,1.0,0.3,1,0.36373849461910035,5
66,0.3,1.0,0.3,2,0.3648244894956396,5
67,0.3,1.0,0.3,4,0.39116372400133104,6
68,0.3,1.0,0.3,6,0.5090154728217354,5
69,0.3,1.0,0.3,8,0.5065738949732799,5
70,0.3,1.0,0.4,1,0.3836617923335547,6
71,0.3,1.0,0.4,2,0.3634825966354438,5
72,0.3,1.0,0.4,4,0.3639318505215063,6
73,0.3,1.0,0.4,6,0.510753566821045,5
74,0.3,1.0,0.4,8,0.5065738949732799,5
75,0.5,0.35,0.05,1,0.03998736757723564,7
76,0.5,0.35,0.05,2,0.04602065642376243,7
77,0.5,0.35,0.05,4,0.054553448086132855,7
78,0.5,0.35,0.05,6,0.05877708333748073,7
79,0.5,0.35,0.05,8,0.05897120327271448,7
80,0.5,0.35,0.1,1,0.04942439345418739,7
81,0.5,0.35,0.1,2,0.04168451300051524,7
82,0.5,0.35,0.1,4,0.04525215362717569,8
83,0.5,0.35,0.1,6,0.05754558308985896,8
84,0.5,0.35,0.1,8,0.06446220627879677,7
85,0.5,0.35,0.2,1,0.1771773316090691,7
86,0.5,0.35,0.2,2,0.055926646575594784,7
87,0.5,0.35,0.2,4,0.0488478015843224,7
88,0.5,0.35,0.2,6,0.04928847569024358,10
89,0.5,0.35,0.2,8,0.07314680649998694,7
90,0.5,0.35,0.3,1,0.2858662355085858,6
91,0.5,0.35,0.3,2,0.16582134622910744,11
92,0.5,0.35,0.3,4,0.064351983928501,12
93,0.5,0.35,0.3,6,0.0485751063990904,16
94,0.5,0.35,0.3,8,0.060053352115720264,7
95,0.5,0.35,0.4,1,0.37417983445995295,11
96,0.5,0.35,0.4,2,0.1566214677721481,38
97,0.5,0.35,0.4,4,0.05477556916628757,29
98,0.5,0.35,0.4,6,0.0813617174964638,82
99,0.5,0.35,0.4,8,0.07563327600822108,77
100,0.5,0.5,0.05,1,0.10959973674340918,7
101,0.5,0.5,0.05,2,0.12201760916096871,6
102,0.5,0.5,0.05,4,0.15469942977980528,6
103,0.5,0.5,0.05,6,0.23426846250612943,6
104,0.5,0.5,0.05,8,0.23045311853479478,6
105,0.5,0.5,0.1,1,0.06655061468621305,7
106,0.5,0.5,0.1,2,0.08841859651093319,7
107,0.5,0.5,0.1,4,0.11503011319005772,7
108,0.5,0.5,0.1,6,0.2351167875038033,6
109,0.5,0.5,0.1,8,0.21541521559505628,6
110,0.5,0.5,0.2,1,0.08264711907056502,6
111,0.5,0.5,0.2,2,0.04867327010459345,7
112,0.5,0.5,0.2,4,0.09743329459131303,7
113,0.5,0.5,0.2,6,0.21908394825318292,7
114,0.5,0.5,0.2,8,0.21449207223032749,6
115,0.5,0.5,0.3,1,0.11111137015994103,7
116,0.5,0.5,0.3,2,0.0518290899248611,7
117,0.5,0.5,0.3,4,0.07087793195265267,12
118,0.5,0.5,0.3,6,0.28819720715005365,6
119,0.5,0.5,0.3,8,0.21604554646184293,6
120,0.5,0.5,0.4,1,0.08327338945109579,7
121,0.5,0.5,0.4,2,0.10809538431591999,7
122,0.5,0.5,0.4,4,0.11826051222904466,6
123,0.5,0.5,0.4,6,0.24397464051503018,6
124,0.5,0.5,0.4,8,0.23259092159327788,62
125,0.5,1.0,0.05,1,0.6625944552979471,5
126,0.5,1.0,0.05,2,0.640541141707498,5
127,0.5,1.0,0.05,4,0.5063035738923479,5
128,0.5,1.0,0.05,6,0.5600092972115133,5
129,0.5,1.0,0.05,8,0.561893381873804,5
130,0.5,1.0,0.1,1,0.6637382458961685,5
131,0.5,1.0,0.1,2,0.6332159565427493,5
132,0.5,1.0,0.1,4,0.5107391773376021,5
133,0.5,1.0,0.1,6,0.5550651693566209,5
134,0.5,1.0,0.1,8,0.561893381873804,5
135,0.5,1.0,0.2,1,0.6307584101168924,5
136,0.5,1.0,0.2,2,0.5897955177298553,5
137,0.5,1.0,0.2,4,0.49221658098416804,5
138,0.5,1.0,0.2,6,0.5577260100605712,5
139,0.5,1.0,0.2,8,0.561893381873804,5
140,0.5,1.0,0.3,1,0.5531927858110592,5
141,0.5,1.0,0.3,2,0.5298648542022816,5
142,0.5,1.0,0.3,4,0.4546789126320807,5
143,0.5,1.0,0.3,6,0.5512821751136472,5
144,0.5,1.0,0.3,8,0.561893381873804,5
145,0.5,1.0,0.4,1,0.4346629198670644,6
146,0.5,1.0,0.4,2,0.561687155262729,5
147,0.5,1.0,0.4,4,0.4433844258054891,5
148,0.5,1.0,0.4,6,0.5497800954839793,5
149,0.5,1.0,0.4,8,0.561893381873804,5
150,0.9,0.35,0.05,1,0.06490230063088641,7
151,0.9,0.35,0.05,2,0.06982516848059475,7
152,0.9,0.35,0.05,4,0.07366795509287914,7
153,0.9,0.35,0.05,6,0.08727469932763363,7
154,0.9,0.35,0.05,8,0.09357285880094787,7
155,0.9,0.35,0.1,1,0.08714418538745877,7
156,0.9,0.35,0.1,2,0.06902388728275743,7
157,0.9,0.35,0.1,4,0.08279539879585694,7
158,0.9,0.35,0.1,6,0.08464638828534281,8
159,0.9,0.35,0.1,8,0.0947555690725583,7
160,0.9,0.35,0.2,1,0.2176025971975387,7
161,0.9,0.35,0.2,2,0.08838414369580662,7
162,0.9,0.35,0.2,4,0.08867883547339711,7
163,0.9,0.35,0.2,6,0.08771306029075875,7
164,0.9,0.35,0.2,8,0.10509739373100707,55
165,0.9,0.35,0.3,1,0.42636898470363493,6
166,0.9,0.35,0.3,2,0.32951970749574705,27
167,0.9,0.35,0.3,4,0.14076389510138462,7
168,0.9,0.35,0.3,6,0.10193785180322439,80
169,0.9,0.35,0.3,8,0.10831504369580423,7
170,0.9,0.35,0.4,1,1.0468317255889321,7
171,0.9,0.35,0.4,2,0.3627635825506183,13
172,0.9,0.35,0.4,4,0.1617103994192677,130
173,0.9,0.35,0.4,6,0.12727673454906305,83
174,0.9,0.35,0.4,8,0.10804511713579291,84
175,0.9,0.5,0.05,1,0.17152426377607707,7
176,0.9,0.5,0.05,2,0.2200219965824009,6
177,0.9,0.5,0.05,4,0.27454870953549726,6
178,0.9,0.5,0.05,6,0.38570386848854343,6
179,0.9,0.5,0.05,8,0.37590707306721055,6
180,0.9,0.5,0.1,1,0.10377997061471436,7
181,0.9,0.5,0.1,2,0.14451359683373177,7
182,0.9,0.5,0.1,4,0.22292706258586714,6
183,0.9,0.5,0.1,6,0.3915210846324168,6
184,0.9,0.5,0.1,8,0.3756015598656747,6
185,0.9,0.5,0.2,1,0.11983426733036262,7
186,0.9,0.5,0.2,2,0.1343693342161194,7
187,0.9,0.5,0.2,4,0.18563742717681786,7
188,0.9,0.5,0.2,6,0.37825828848260423,6
189,0.9,0.5,0.2,8,0.3736012801322836,6
190,0.9,0.5,0.3,1,0.15207840175542386,7
191,0.9,0.5,0.3,2,0.05455393816876345,19
192,0.9,0.5,0.3,4,0.1359160752375456,7
193,0.9,0.5,0.3,6,0.4814985854685984,6
194,0.9,0.5,0.3,8,0.3914915432110617,67
195,0.9,0.5,0.4,1,0.11041453849011243,8
196,0.9,0.5,0.4,2,0.1758226628809233,51
197,0.9,0.5,0.4,4,0.17207214827129827,73
198,0.9,0.5,0.4,6,0.4191989888379469,81
199,0.9,0.5,0.4,8,0.39209300456493035,73
200,0.9,1.0,0.05,1,1.06972515489944,5
201,0.9,1.0,0.05,2,1.0224130249776169,5
202,0.9,1.0,0.05,4,0.8753093047046631,5
203,0.9,1.0,0.05,6,0.8800883015726805,5
204,0.9,1.0,0.05,8,0.8870546328570079,5
205,0.9,1.0,0.1,1,1.0855582904236682,5
206,0.9,1.0,0.1,2,0.9952306330301676,5
207,0.9,1.0,0.1,4,0.854099126648265,5
208,0.9,1.0,0.1,6,0.8662258426075243,5
209,0.9,1.0,0.1,8,0.8870546328570079,5
210,0.9,1.0,0.2,1,1.0398593998632386,5
211,0.9,1.0,0.2,2,0.9082115870363371,5
212,0.9,1.0,0.2,4,0.8427934771592491,5
213,0.9,1.0,0.2,6,0.8742485818917678,5
214,0.9,1.0,0.2,8,0.8870546328570079,5
215,0.9,1.0,0.3,1,0.8690991590496772,5
216,0.9,1.0,0.3,2,0.7494584751455327,5
217,0.9,1.0,0.3,4,0.8113681381937038,5
218,0.9,1.0,0.3,6,0.8607370670307148,5
219,0.9,1.0,0.3,8,0.8870546328570079,5
220,0.9,1.0,0.4,1,0.8497635131642371,6
221,0.9,1.0,0.4,2,0.8448202866034439,5
222,0.9,1.0,0.4,4,0.7487379418210786,5
223,0.9,1.0,0.4,6,0.8596369924297957,5
224,0.9,1.0,0.4,8,0.8870546328570079,5
